neg,neu,pos,compound,headline,time,label
0.0,0.867,0.133,0.25,is there any chance things can happen to binance as same happen to ftx?,1668201609,1
0.0,1.0,0.0,0.0,US DOJ asks Binance for information on FTX,1668150104,0
0.079,0.921,0.0,-0.0516,"Binance Backs Out of FTX Acquisition, Cites Crypto Change’s Stability Sheet and Pending US Investigations",1668172935,-1
0.39,0.61,0.0,-0.4939,Latest Developments Following the FTX Collapse,1668113606,-1
0.248,0.642,0.11,-0.3612,Freeze BNB funds that have been hacked from FTX?,1668258654,-1
0.247,0.753,0.0,-0.3182,"FTX Files For Bankruptcy, SBF Resigns as CEO",1668197936,-1
0.0,1.0,0.0,0.0,Binance Ends FTX Acquisition Citing Due Diligence,1668079637,0
0.0,1.0,0.0,0.0,Uncle Sam... (mafia bears),1668033749,0
0.0,0.882,0.118,0.1531,Portfolio of FTX and Alameda Research – Which projects should investors be careful with?,1668061018,1
0.0,0.349,0.651,0.5766,SBF haircut FTW,1668520883,1
0.0,0.804,0.196,0.296,Binance to Share FTX Deal Documents with UK Lawmakers: Report,1668519131,1
0.198,0.802,0.0,-0.4939,"After the collapse of FTX, people are moving more and more money to DEXs",1668336824,-1
0.221,0.716,0.063,-0.7351,"What I see: -Technicals looking bad (price below June's low, indicators bearish, funding reset...) -Same bull traps as always, but even weaker. People falling for them. -Comments like ''you are going to miss the train''. Really? This is not over. Final capitulation is likely.",1668586446,-1
0.046,0.789,0.164,0.7506,So I’m getting a bit nervous of these exchanges and wonder if it’s best to pull my crypto and put into a MetaMask or trust wallet rather than keep money on these exchanges after ftx and now crypto .com cro tanking.,1668391473,1
0.0,1.0,0.0,0.0,The DOWNFALL Of Sam Bankman-Fried And FTX (Reaction to @Wall Street Millennial),1668558915,0
0.0,1.0,0.0,0.0,SBF name reveal,1668607731,0
0.0,1.0,0.0,0.0,FTX Sees Mysterious Outflows Totaling More than $600M,1668332739,0
0.193,0.643,0.164,-0.1027,CZ Dismisses 'Slight' Increase in Binance BTC Withdrawals After FTX Crash,1668504459,-1
0.0,0.889,0.111,0.4137,What do you think of the efforts of cryptocurrency analysts and citizen journalists during the downfall of FTX? What role do they play?,1668589680,1
0.206,0.619,0.175,-0.0772,50% of galois-capital assets are stuck on FTX,1668335948,-1
0.0,1.0,0.0,0.0,Recommendations for new SEPA on-ramp now that FTX has gone belly up?,1668390124,0
0.0,0.932,0.068,0.2263,"What do you think of Axie's AXS Tokens Get Unlocked, Recipients Send $5.7M Worth to FTX exchange, and what impact does this have on the current P2E?",1668505648,1
0.0,1.0,0.0,0.0,"""SBF porno has been coined into an NFT and is currently being auctioned off with an expiry of 11/18/22"" (sbfleaks.eth)",1668660682,0
0.291,0.709,0.0,-0.6249,What is the worst-case scenario for Bitcoin in the FTX Crisis?,1668800605,-1
0.0,1.0,0.0,0.0,Is my crypto at FTX gone?,1668713206,0
0.0,1.0,0.0,0.0,Calling FTX afectees from pakistan,1668873110,0
0.241,0.759,0.0,-0.5411,FTX Collapse Domino Effect! Is the financial tsunami coming? - US financial news.,1668891976,-1
0.0,1.0,0.0,0.0,another FTX meme for ya'll,1668833253,0
0.0,0.853,0.147,0.2263,Did Binance allow SG users to access in light of FTX insolvency?,1668820174,1
0.123,0.877,0.0,-0.2732,Dramatic collapse of the cryptocurrency exchange FTX contains lessons for investors but won’t affect most people,1668693770,-1
0.0,0.912,0.088,0.2933,"If you direct deposited money in FTX in the last 60 days, you can phone your bank and tell them you want a refund according to Section E of CFPB Regulations, and the bank can not refuse.",1668856478,1
0.0,1.0,0.0,0.0,"Bankman-Fried ran FTX as personal fiefdom, court hears",1669144672,0
0.0,1.0,0.0,0.0,"Coinbase, MicroStrategy Bonds Tank as FTX",1669053580,0
0.0,1.0,0.0,0.0,This is my Last FTX meme,1669120157,0
0.057,0.943,0.0,-0.128,"DYDX resumes USDC Liquidity provision/ staking at a market leading 14.31% apr. States ""influx of new demand for decentralised margin as a result of FTX implosion"" - Defi Pulse",1669163606,-1
0.0,1.0,0.0,0.0,Hackers Laundering Hundreds Of Millions They Stole From The FTX,1669068872,0
0.057,0.943,0.0,-0.128,"DYDX resumes USDC Liquidity provision/ staking at a market leading 14.31% apr. States ""influx of new demand for decentralised margin as a result of FTX implosion"" - Defi Pulse",1669165528,-1
